Acao,Data,Close,Volume
OGXP3,2010-01-04,17.67,16427600
OGXP3,2010-01-05,18.20,29087300
OGXP3,2010-01-06,17.94,19090300
OGXP3,2010-01-07,18.15,17172600
OGXP3,2010-01-08,18.05,13574800
OGXP3,2010-01-11,18.96,16209200
OGXP3,2010-01-12,19.20,17518800
OGXP3,2010-01-13,19.41,11748200
OGXP3,2010-01-14,18.77,29304300
OGXP3,2010-01-15,18.39,12086100
OGXP3,2010-01-18,19.18,16259800
OGXP3,2010-01-19,19.30,13843200
OGXP3,2010-01-20,18.52,11483700
OGXP3,2010-01-21,17.48,21583300
OGXP3,2010-01-22,17.62,22764200
OGXP3,2010-01-26,17.70,17757000
OGXP3,2010-01-27,17.34,15795800
OGXP3,2010-01-28,17.60,7752200
OGXP3,2010-01-29,16.80,16947800
OGXP3,2010-02-01,17.30,20034600
OGXP3,2010-02-02,17.90,14411400
OGXP3,2010-02-03,19.00,33670200
OGXP3,2010-02-04,17.65,27008700
OGXP3,2010-02-05,18.14,31075300
OGXP3,2010-02-08,17.60,17997500
OGXP3,2010-02-09,17.40,23982000
OGXP3,2010-02-10,17.55,16580000
OGXP3,2010-02-11,17.83,16822800
OGXP3,2010-02-12,17.53,10290500
OGXP3,2010-02-17,17.65,10877300
OGXP3,2010-02-18,17.60,11476900
OGXP3,2010-02-19,17.21,10799600
OGXP3,2010-02-22,16.90,15157400
OGXP3,2010-02-23,16.40,24749100
OGXP3,2010-02-24,16.31,13440200
OGXP3,2010-02-25,15.89,23442500
OGXP3,2010-02-26,15.75,15272500
OGXP3,2010-03-01,16.32,18158000
OGXP3,2010-03-02,16.05,27302500
OGXP3,2010-03-03,16.11,21317500
OGXP3,2010-03-04,15.79,18642800
OGXP3,2010-03-05,16.71,26622600
OGXP3,2010-03-08,16.88,13997700
OGXP3,2010-03-09,16.87,15000500
OGXP3,2010-03-10,17.01,17643200
OGXP3,2010-03-11,17.80,41624500
OGXP3,2010-03-12,17.30,28810900
OGXP3,2010-03-15,16.80,23174600
OGXP3,2010-03-16,16.99,21417600
OGXP3,2010-03-17,16.90,13586800
OGXP3,2010-03-18,16.60,18718100
OGXP3,2010-03-19,16.26,17111700
OGXP3,2010-03-22,16.30,19111700
OGXP3,2010-03-23,16.57,9812200
OGXP3,2010-03-24,16.53,12579300
OGXP3,2010-03-25,16.49,7816900
OGXP3,2010-03-26,16.52,8345900
OGXP3,2010-03-29,16.75,8082800
OGXP3,2010-03-30,16.60,11124400
OGXP3,2010-03-31,16.65,11025100
OGXP3,2010-04-01,17.10,13051800
OGXP3,2010-04-05,17.08,12802500
OGXP3,2010-04-06,17.24,14982200
OGXP3,2010-04-07,17.22,15297200
OGXP3,2010-04-08,17.60,16929800
OGXP3,2010-04-09,17.64,18033700
OGXP3,2010-04-12,17.30,14329900
OGXP3,2010-04-13,17.61,13986600
OGXP3,2010-04-14,17.62,16878300
OGXP3,2010-04-15,17.94,47328400
OGXP3,2010-04-16,18.11,22543500
OGXP3,2010-04-19,18.45,21042400
OGXP3,2010-04-20,18.80,16721200
OGXP3,2010-04-22,18.36,15391000
OGXP3,2010-04-23,18.09,11070500
